platform,mean_hour_local
BR1,22.032947255176914
BR1,20.45850626016289
BR1,18.71145461362557
BR1,20.09959901044861
BR1,22.42986341448965
BR1,18.286915127464887
BR1,19.22667607174817
BR1,22.184642509459756
BR1,20.04397658473436
BR1,22.476636347885307
BR1,13.970873584159191
BR1,17.230132433095573
BR1,19.84289695810811
BR1,18.487480179512666
BR1,19.707009126515363
BR1,3.424632208775164
BR1,18.227114127321144
BR1,19.9690489464296
BR1,21.161066586240345
BR1,2.8333261894362605
BR1,18.46940492636422
BR1,20.99051483722512
BR1,17.816488486119514
BR1,20.30160769236921
BR1,18.334521144778524
BR1,20.52254319819877
BR1,16.578294167947018
BR1,20.42876117359846
BR1,22.31863480167916
BR1,17.692837186040517
BR1,19.50290375893417
BR1,21.163766651762764
BR1,15.303241263228568
BR1,16.441214658262986
BR1,20.477504676468
BR1,19.88722542815386
BR1,23.11757700268117
BR1,17.367397904533785
BR1,18.84509937822386
BR1,17.91962702382796
BR1,17.86939775549023
BR1,17.64879528557728
BR1,18.86752074884288
BR1,19.875891339346843
BR1,2.8976521944413687
BR1,1.0782976041836116
BR1,16.691306483664118
BR1,18.17358605556829
BR1,19.32181059634089
BR1,22.11481091663694
BR1,17.24326927546581
BR1,18.880188570767327
BR1,20.902232426512377
BR1,15.432358494614808
BR1,22.575612483547847
BR1,12.981023303027548
BR1,17.063964055781284
BR1,16.850987466066357
BR1,19.86122537620128
BR1,18.13381252946468
BR1,17.5829706110936
BR1,20.226191338095365
BR1,21.8998012840334
BR1,21.862013423432973
BR1,23.02775554802321
BR1,10.93235866304734
BR1,16.66174302004837
BR1,17.66609872231986
BR1,19.61250595372912
BR1,19.270492235618665
BR1,20.4185795533374
BR1,11.593606569715035
BR1,19.740245432934486
BR1,19.32421682062341
BR1,22.499349021501704
BR1,19.55667793738988
BR1,18.73721522485504
BR1,8.872542394696437
BR1,2.834063028573933
BR1,21.407162471518557
BR1,21.812140369410468
BR1,18.520815148726754
BR1,22.065280493705323
BR1,18.098212130169117
BR1,20.884427845915518
BR1,21.479624509711567
BR1,23.689217858109263
BR1,0.0441280570531016
BR1,22.317491159615315
BR1,17.061581396631187
BR1,17.293171844279886
BR1,19.832830119767973
BR1,3.338364403633267
BR1,18.705299994827307
BR1,19.76833557213969
BR1,19.31261183905201
BR1,19.504794622139837
BR1,15.3232897820875
BR1,17.661299171468492
BR1,22.17661912298748
BR1,18.198219045562613
BR1,18.820039964836777
BR1,19.25693290784461
BR1,1.9989233892727336
BR1,19.21736620553436
BR1,22.01127153617343
BR1,19.367047704280367
BR1,19.019719095200717
BR1,22.017815743119492
BR1,0.7875160033476496
BR1,19.236044116234
BR1,19.48711961433762
BR1,14.31352006253717
BR1,21.679904913000197
BR1,23.102359208463252
