platform,metric,local_hour,density,n_phases,kappa,min_phases
BR1,PC1,16.6,0.03981491890186119,98,4.0,20
BR1,PC1,16.7,0.04001377454205998,98,4.0,20
BR1,PC1,16.8,0.04021894202665032,98,4.0,20
BR1,PC1,16.900000000000002,0.04042947788020121,98,4.0,20
BR1,PC1,17.0,0.040644370709529545,98,4.0,20
BR1,PC1,17.1,0.0408625561942166,98,4.0,20
BR1,PC1,17.2,0.041082932188707205,98,4.0,20
BR1,PC1,17.3,0.04130437363366783,98,4.0,20
BR1,PC1,17.400000000000002,0.041525747003500854,98,4.0,20
BR1,PC1,17.5,0.041745924052257216,98,4.0,20
BR1,PC1,17.6,0.041963794660033145,98,4.0,20
BR1,PC1,17.7,0.042178278624565885,98,4.0,20
BR1,PC1,17.8,0.04238833628642402,98,4.0,20
BR1,PC1,17.900000000000002,0.04259297791923151,98,4.0,20
BR1,PC1,18.0,0.04279127185720515,98,4.0,20
BR1,PC1,18.1,0.042982351369529576,98,4.0,20
BR1,PC1,18.2,0.04316542032358073,98,4.0,20
BR1,PC1,18.3,0.04333975770584513,98,4.0,20
BR1,PC1,18.400000000000002,0.04350472108997045,98,4.0,20
BR1,PC1,18.5,0.043659749155435086,98,4.0,20
BR1,PC1,18.6,0.04380436336785798,98,4.0,20
BR1,PC1,18.7,0.0439381689332933,98,4.0,20
BR1,PC1,18.8,0.044060855134537336,98,4.0,20
BR1,PC1,18.900000000000002,0.04417219514830553,98,4.0,20
BR1,PC1,19.0,0.044272045429075535,98,4.0,20
BR1,PC1,19.1,0.04436034472951314,98,4.0,20
BR1,PC1,19.200000000000003,0.04443711280983022,98,4.0,20
BR1,PC1,19.3,0.04450244887029581,98,4.0,20
BR1,PC1,19.400000000000002,0.04455652972350093,98,4.0,20
BR1,PC1,19.5,0.04459960770682923,98,4.0,20
BR1,PC1,19.6,0.04463200832171873,98,4.0,20
BR1,PC1,19.700000000000003,0.04465412757535557,98,4.0,20
BR1,PC1,19.8,0.04466642899285536,98,4.0,20
BR1,PC1,19.900000000000002,0.04466944026400038,98,4.0,20
BR1,PC1,20.0,0.044663749488250304,98,4.0,20
BR1,PC1,20.1,0.04465000098488785,98,4.0,20
BR1,PC1,20.200000000000003,0.044628890641499684,98,4.0,20
BR1,PC1,20.3,0.04460116078309956,98,4.0,20
BR1,PC1,20.400000000000002,0.044567594555561,98,4.0,20
BR1,PC1,20.5,0.04452900983006612,98,4.0,20
BR1,PC1,20.6,0.04448625264941224,98,4.0,20
BR1,PC1,20.700000000000003,0.0444401902516692,98,4.0,20
BR1,PC1,20.8,0.04439170372131853,98,4.0,20
BR1,PC1,20.900000000000002,0.044341680332156005,98,4.0,20
BR1,PC1,21.0,0.04429100565950478,98,4.0,20
BR1,PC1,21.1,0.04424055555134432,98,4.0,20
BR1,PC1,21.200000000000003,0.04419118805856364,98,4.0,20
BR1,PC1,21.3,0.0441437354335143,98,4.0,20
BR1,PC1,21.400000000000002,0.0440989963132332,98,4.0,20
