metric,platform,phase_local_peak
PC1,EUN1,1.4694492635359069
PC1,EUN1,20.88812980847149
PC1,EUN1,23.770017137904706
PC1,EUN1,23.116095677090183
PC1,EUN1,1.4255877727042012
PC1,EUN1,6.58537742540789
PC1,EUN1,18.05525531667008
PC1,EUN1,9.412573064799794
PC1,EUN1,23.979498695607585
PC1,EUN1,19.52844805507821
PC1,EUN1,21.80055233591956
PC1,EUW1,3.839653985998954
PC1,EUW1,0.1235716191216873
PC1,EUW1,16.556389046237918
PC1,EUW1,1.4695392988816156
PC1,EUW1,2.6291257446494614
PC1,EUW1,4.925428618131129
PC1,EUW1,2.8974589538771856
PC1,EUW1,3.488774080715179
PC1,EUW1,2.191100610574062
PC1,EUW1,19.91692846661032
PC1,EUW1,15.45621614879783
PC1,EUW1,14.016173051363635
PC1,EUW1,20.19769415711416
PC1,EUW1,22.95246304094757
PC1,EUW1,19.97234721383451
PC1,EUW1,16.837931841228375
PC1,EUW1,22.07129317415218
PC1,EUW1,6.976696818326423
PC1,EUW1,22.66508962038095
PC1,EUW1,22.750639710061968
PC1,EUW1,3.8197120934282855
PC1,EUW1,19.093455539145083
PC1,EUW1,2.754041033684687
PC1,EUW1,22.57957144324244
PC1,EUW1,1.213065831140461
PC1,EUW1,14.850145267156435
PC1,EUW1,18.92187507198544
PC1,EUW1,20.408723367210875
PC1,EUW1,4.430410874905984
PC1,EUW1,20.98885884658464
PC1,EUW1,12.496524107140976
PC1,EUW1,7.627194640336412
PC1,EUW1,14.6848279828374
PC1,EUW1,6.425722957521032
PC1,EUW1,12.620577326459012
PC1,EUW1,20.72032207194387
PC1,EUW1,15.56673280879548
PC1,EUW1,17.27993532332043
PC1,EUW1,4.128626793985035
PC1,EUW1,3.65517107910594
PC1,EUW1,15.99914370626006
PC1,EUW1,8.601756362345435
PC1,EUW1,10.683962470890888
PC1,EUW1,8.137953641321264
PC1,EUW1,0.6635436175487683
PC1,EUW1,21.464007428314343
PC1,EUW1,1.92144882389396
PC1,EUW1,4.109950663600648
PC1,EUW1,21.16335675792892
PC1,EUW1,4.353777572244667
PC1,EUW1,1.1243834383763232
PC1,EUW1,15.011835421772153
PC1,EUW1,4.573294993274207
PC1,EUW1,5.477837890066777
PC1,EUW1,18.09526950548243
PC1,EUW1,5.482806504285098
PC1,EUW1,2.119741446779674
PC1,EUW1,4.715630455084817
PC1,EUW1,20.55700292880595
PC1,EUW1,15.16258595782726
PC1,EUW1,3.4385155153521216
PC1,EUW1,9.22654337216614
PC1,EUW1,16.228801261937747
PC1,EUW1,3.9194487883698783
PC1,EUW1,10.432439422484553
PC1,EUW1,5.542733985677142
PC1,EUW1,17.777927104063224
PC1,EUW1,0.6497494451311319
PC1,EUW1,12.140632508050103
